
        0   1   2   3   4   5   6   7   8   9   A   B   C   D   E   F
00-02  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0
03     +1  +1  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0  +0
04     +1  +1  +1  +1  +1  +1  +1  +1  +0  +0  +0  +0  +0  +0  +0  +0
05     +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +0  +0
06-0B  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1
0C     +2  +2  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1
0D     +2  +2  +2  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1
0E     +2  +2  +2  +2  +2  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1
0F     +2  +2  +2  +2  +2  +2  +1  +1  +1  +1  +1  +1  +1  +1  +1  +1
10     +2  +2  +2  +2  +2  +2  +2  +1  +1  +1  +1  +1  +1  +1  +1  +1
11     +2  +2  +2  +2  +2  +2  +2  +2  +1  +1  +1  +1  +1  +1  +1  +1
12     +2  +2  +2  +2  +2  +2  +2  +2  +2  +1  +1  +1  +1  +1  +1  +1
13     +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +1  +1  +1  +1  +1  +1
14     +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +1  +1  +1  +1  +1
15     +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +1  +1  +1  +1
16-3F  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2  +2
40-68  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2
69     -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1
6A     -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1
6B     -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1
6C     -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1  -1
6D     -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  -1
6E     -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
6F     -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
70     -2  -2  -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
71     -2  -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
72     -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
73-78  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
79     -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -0  -0  -0
7A     -1  -1  -1  -1  -1  -1  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0
7B     -1  -1  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0
7C-7F  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0  -0
